participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.random_treatment_ids,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.real_world_currency_per_point,session.config.participation_fee,session.params,informed_consent.1.player.id_in_group,informed_consent.1.player.role,informed_consent.1.player.payoff,informed_consent.1.player.consent_given,informed_consent.1.group.id_in_subsession,informed_consent.1.subsession.round_number,demographics.1.player.id_in_group,demographics.1.player.role,demographics.1.player.payoff,demographics.1.player.age,demographics.1.player.gender,demographics.1.player.highest_education,demographics.1.player.country,demographics.1.player.workexperience,demographics.1.group.id_in_subsession,demographics.1.subsession.round_number,instructions_trust.1.player.id_in_group,instructions_trust.1.player.role,instructions_trust.1.player.payoff,instructions_trust.1.player.instruction_q1,instructions_trust.1.player.instruction_q2,instructions_trust.1.player.instruction_q3,instructions_trust.1.player.instruction_q4,instructions_trust.1.group.id_in_subsession,instructions_trust.1.subsession.round_number,trust.1.player.id_in_group,trust.1.player.role,trust.1.player.payoff,trust.1.player.control,trust.1.group.id_in_subsession,trust.1.group.minimum_amount,trust.1.group.chosen_effort,trust.1.group.chosen_effort_min5,trust.1.group.chosen_effort_min10,trust.1.group.chosen_effort_min20,trust.1.subsession.round_number,feedback.1.player.id_in_group,feedback.1.player.role,feedback.1.player.payoff,feedback.1.player.feedback_text,feedback.1.group.id_in_subsession,feedback.1.subsession.round_number,payment_info.1.player.id_in_group,payment_info.1.player.role,payment_info.1.player.payoff,payment_info.1.group.id_in_subsession,payment_info.1.subsession.round_number,instructions_demo.1.player.id_in_group,instructions_demo.1.player.role,instructions_demo.1.player.payoff,instructions_demo.1.player.instruction_q1,instructions_demo.1.player.instruction_q2,instructions_demo.1.player.instruction_q3,instructions_demo.1.group.id_in_subsession,instructions_demo.1.subsession.round_number,sliders.1.player.id_in_group,sliders.1.player.role,sliders.1.player.payoff,sliders.1.player.iteration,sliders.1.player.num_correct,sliders.1.player.control,sliders.1.group.id_in_subsession,sliders.1.group.minimum_amount,sliders.1.group.chosen_effort,sliders.1.subsession.round_number,survey.1.player.id_in_group,survey.1.player.role,survey.1.player.payoff,survey.1.player.item1control,survey.1.player.item1trust,survey.1.player.item1autocontrol,survey.1.player.item1monitoring,survey.1.player.item2control,survey.1.player.item2trust,survey.1.player.item2autocontrol,survey.1.player.item2monitoring,survey.1.player.item3control,survey.1.player.item3trust,survey.1.player.item3autocontrol,survey.1.player.item3monitoring,survey.1.player.item4trust,survey.1.player.item4control,survey.1.player.item4autocontrol,survey.1.player.item4monitoring,survey.1.player.item5trust,survey.1.player.item5control,survey.1.player.item5autocontrol,survey.1.player.item5monitoring,survey.1.group.id_in_subsession,survey.1.subsession.round_number
1,kpxpeg88,,0,13,13,payment_info,PaymentInfo,42:30.0,1,,,30,,mrg9wqem,,,,,0,trust,0.01,0.25,,1,,0,1,1,1,1,,0,45-54,Female,Ph.D. or higher,Bahrain,6,1,1,1,,0,No,No,22,80,1,1,1,,30,10,1,Yes,15,,11,,1,1,,0,,1,1,1,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,sho4g59v,,0,13,13,payment_info,PaymentInfo,42:32.0,1,,,105,,mrg9wqem,,,,,0,trust,0.01,0.25,,2,,0,1,1,1,2,,0,45-54,Female,Bachelors Degree,Mauritania,4,1,1,2,,0,No,No,22,80,1,1,2,,105,10,1,Yes,15,,11,,1,2,,0,,1,1,2,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,p8z0ie6g,,0,13,13,payment_info,PaymentInfo,44:11.7,1,,,40,,mrg9wqem,,,,,0,trust,0.01,0.25,,3,,0,1,1,1,3,,0,45-54,Female,Ph.D. or higher,Australia,4,1,1,3,,0,No,No,22,80,1,1,1,,40,20,2,No,19,,,20,1,3,,0,,1,1,3,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,qf5p02l3,,0,13,13,payment_info,PaymentInfo,44:12.1,1,,,100,,mrg9wqem,,,,,0,trust,0.01,0.25,,4,,0,1,1,1,4,,0,25-34,Male,High School or lower,United Arab Emirates,3,1,1,4,,0,No,No,22,80,1,1,2,,100,20,2,No,19,,,20,1,4,,0,,1,1,4,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34xzv5p2,,0,13,13,payment_info,PaymentInfo,45:09.9,1,,,24,,mrg9wqem,,,,,0,trust,0.01,0.25,,5,,0,1,1,1,5,,0,45-54,Female,Bachelors Degree,Slovakia,6,1,1,5,,0,No,No,22,80,1,1,1,,24,5,3,Yes,12,10,,,1,5,,0,,1,1,5,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,p6wjkl3r,,0,13,13,payment_info,PaymentInfo,45:10.6,1,,,108,,mrg9wqem,,,,,0,trust,0.01,0.25,,6,,0,1,1,1,6,,0,Prefer not to say,Female,Trade School,Tunisia,2,1,1,6,,0,No,No,22,80,1,1,2,,108,5,3,Yes,12,10,,,1,6,,0,,1,1,6,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1pno5hym,,0,13,13,payment_info,PaymentInfo,45:57.0,1,,,36,,mrg9wqem,,,,,0,trust,0.01,0.25,,7,,0,1,1,1,7,,0,25-34,Other,Masters Degree,Turkey,4,1,1,7,,0,No,No,22,80,1,1,1,,36,10,4,Yes,18,,16,,1,7,,0,,1,1,7,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,yt7aygr2,,0,13,13,payment_info,PaymentInfo,45:57.5,1,,,102,,mrg9wqem,,,,,0,trust,0.01,0.25,,8,,0,1,1,1,8,,0,25-34,Male,Bachelors Degree,Portugal,6,1,1,8,,0,No,No,22,80,1,1,2,,102,10,4,Yes,18,,16,,1,8,,0,,1,1,8,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,bl7sy0uh,,0,13,13,payment_info,PaymentInfo,45:59.5,1,,,42,,mrg9wqem,,,,,1,trust,0.01,0.25,,9,,0,1,1,1,9,,0,18-24,Prefer not to say,Bachelors Degree,Sweden,4,1,1,9,,0,No,No,22,80,1,1,1,,42,20,5,No,21,,,20,1,9,,0,,1,1,9,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,iv8bx8mb,,0,13,13,payment_info,PaymentInfo,46:57.5,1,,,78,,mrg9wqem,,,,,2,trust,0.01,0.25,,10,,0,1,1,1,10,,0,18-24,Prefer not to say,Ph.D. or higher,Macau,8,1,1,10,,0,No,No,22,80,1,1,2,,78,20,5,No,21,,,20,1,10,,0,,1,1,10,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
